date,search_term,top_three_results,top_searched,most_reviewed,highest_rated
2017-09-04,smart+tv,"Insignia™, Samsung, LG",Insignia™,Samsung with 5853 reviews,Insignia™ with 4.5 out of 5
2017-09-04,curved+smart+tv,"Samsung, Samsung, Samsung",Samsung,Samsung with 213 reviews,Samsung with 4.7 out of 5
